Symbol,Industry Major,Industry Minor,Rank,Value,Growth,Momentum,VGM,Net Income 4 Years Ago,Net Income 3 Years Ago,Net Income 2 Years Ago,Net Income 1 Years Ago,Net Income Most Recent
GRIN,Transportation,Shipping,Top 28% (70 out of 252),A,A,F,B,52.80,-21,-43,-39,119
GSL,Transportation,Shipping,Top 28% (70 out of 252),B,B,F,B,-74,-57,40,42,172
HASI,REIT and Equity Trust,,Bottom 15% (215 out of 252),F,F,F,F,31,42,82,82,127
HBT,Banks,Northeast,Top 15% (37 out of 252),C,F,A,D,56,64,67,37,56
HCC,Coal,,Top 2% (5 out of 252),B,A,D,A,455,697,302,-36,151
HCCI,Pollution Control,,Top 33% (83 out of 252),B,A,C,A,28,15,8,12,61
HEES,Manufacturing,Construction and Mining,Top 35% (89 out of 252),B,C,C,C,110,77,87,-33,103
HHS,Advertising and Marketing,,Top 20% (51 out of 252),A,B,F,C,-42,18,-26,-2,15
HOG,Automotive,Domestic,Top 43% (109 out of 252),B,F,D,D,522,531,424,1,650
HT,REIT and Equity Trust,Other,Top 44% (110 out of 252),D,C,D,C,100,10,-4,-166,-40
HUBG,Transportation,Services,Top 20% (51 out of 252),C,C,A,C,135,202,107,74,171
HTZ,Transportation,Services,Top 20% (51 out of 252),A,B,C,A,327,-225,-58,-1,714,366
IMXI,Financial Transaction Services,,Bottom 36% (161 out of 252),C,A,A,A,0,-7,20,34,47
INVA,Large Cap Pharmaceuticals,,Bottom 37% (159 out of 252),C,C,F,C,134,395,157,224,266
JAKK,Toys,Games,Top 20% (50 out of 252),A,A,F,B,-83,-42,-56,-14,-6
JBL,Electronics,Manufacturing Services,Top 8% (21 out of 252),A,D,D,C,129,86,287,54,696
JILL,Retail,Apparel and Shoes,Top 33% (83 out of 252),B,A,C,A,55,31,-129,-139,-28
JLL,Real Estate,Operations,Top 27% (67 out of 252),B,A,C,A,254,485,535,403,962
JWN,Retail,Apparel and Shoes,Top 33% (83 out of 252),A,A,F,B,437,564,496,-690,178
KFRC,Staffing Firms,,Top 11% (27 out of 252),C,F,F,F,33,58,131,56,75
KFY,Staffing Firms,,Top 11% (27 out of 252),C,B,C,B,84,134,103,105,114
KN,Communication,Components,Top 27% (67 out of 252),C,C,C,C,68,68,49,7,150
KNSL,Insurance,Property and Casualty,Top 27% (69 out of 252),F,B,F,D,25,34,63,88,153
KR,Retail,Supermarkets,Top 11% (27 out of 252),C,B,D,B,1,907,3,110,1,659,2,585,1,655
LCII,Automotive,Original Equipment,Bottom 14% (216 out of 252),C,F,F,F,133,149,147,158,288
LINC,Schools,,Bottom 27% (185 out of 252),A,A,A,A,-11,-7,2,49,35
LNTH,Medical,Products,Bottom 35% (165 out of 252),F,C,F,D,123,41,32,-13,-71
LOVE,Retail,Home Furnishings,Top 15% (38 out of 252),D,C,A,C,2.75,-6,-7,-15,15
LPX,Building Products,Wood,Top 11% (27 out of 252),A,B,A,A,390,395,-5,499,1,377
MAR,Hotels and Motels,,Bottom 8% (233 out of 252),F,D,F,F,1,372,1,907,1,273,-267,1,099
MATX,Transportation,Services,Top 20% (51 out of 252),A,A,C,A,232,109,83,193,927
MD,Medical,Hospital,Top 21% (54 out of 252),C,F,C,D,320,269,-1,498,-796,131
MERC,Paper and Related Products,,Top 24% (61 out of 252),A,D,B,C,70,129,-10,-17,171
MMS,Government Services,,Top 11% (27 out of 252),C,D,C,C,209,221,241,215,291
MNSB,Banks,Northeast,Top 15% (37 out of 252),C,F,F,F,4,9,14,16,22
MOS,Fertilizers,,Top 10% (26 out of 252),B,C,B,B,-107,470,-1,067,666,1,631
MOV,Retail,Jewelry,Top 35% (89 out of 252),A,A,A,A,-15,62,43,-112,92
MP,Mining,Miscellaneous,Top 31% (77 out of 252),F,D,F,F,42.76,48.99,-7,-22,135
MRO,Oil and Gas,Integrated,Top 10% (25 out of 252),D,B,C,B,-5,723,1,096,480,-1,451,946
MRVI,Medical,Products,Bottom 35% (165 out of 252),F,A,B,C,55.44,-4,-4,89,182
MSBI,Banks,Northeast,Top 15% (37 out of 252),B,F,D,D,16,39,56,23,81
MVBF,Financial,Miscellaneous Services,Top 38% (97 out of 252),D,F,B,F,8,12,27,37,39
MXL,Semiconductor,Analog and Mixed,Top 2% (5 out of 252),F,A,B,C,-9,-26,-20,-99,42
MYFW,Banks,Midwest,Top 6% (14 out of 252),D,D,D,F,2,6,8,25,21
NECB,Banks,Northeast,Top 15% (37 out of 252),F,F,A,F,4.21,8,13,13,12
NEXA,Mining,Miscellaneous,Top 31% (77 out of 252),A,D,D,C,127,75,-147,-559,114
NMRK,Real Estate,Operations,Top 27% (67 out of 252),B,D,F,D,144,107,117,80,751
NREF,REIT and Equity Trust,,Bottom 15% (215 out of 252),F,F,A,F,6.42,14.11,13.32,13,43
NRIM,Banks,West,Top 15% (39 out of 252),D,F,D,F,13,20,21,33,38
NTR,Fertilizers,,Top 10% (26 out of 252),C,A,C,A,327,3,573,992,459,3,153
NVEE,Consulting Services,,Top 33% (82 out of 252),F,C,F,D,24,27,24,21,47
NVDA,Semiconductor,General,Top 8% (21 out of 252),F,C,D,F,3,047,4,141,2,796,4,332,9,752
NXE,Mining,Miscellaneous,Top 31% (77 out of 252),F,F,B,F,-43,2,-12,-82,-95
NWSA,Film and Television Production and Distribution,,Top 28% (71 out of 252),D,C,D,D,-738,-1,514,155,-1,269,330
OAS,Oil and Gas,Exploration and Production,Top 25% (63 out of 252),B,A,B,A,124,-35,-128,-3,690,320
NXRT,REIT and Equity Trust,Residential,Top 24% (61 out of 252),F,F,F,F,53,-2,99,44,23
ON,Semiconductor,Analog and Mixed,Top 2% (5 out of 252),D,A,C,B,811,627,212,234,1,010
OPBK,Banks,Southwest,Top 8% (19 out of 252),D,F,B,D,9,14,17,13,29
OSBC,Banks,Midwest,Top 6% (14 out of 252),D,F,B,F,15,34,39,28,20
PANL,Transportation,Shipping,Top 28% (70 out of 252),A,C,B,B,8,18,12,11,67
PBF,Oil and Gas,Refining and Marketing,Top 25% (64 out of 252),A,A,D,A,416,128,319,-1,392,231
PBR,Oil and Gas,Integrated,Top 17% (42 out of 252),A,D,D,C,-91,7,173,10,151,1,141,19,875
PCH,Building Products,Wood,Top 11% (27 out of 252),C,D,C,D,86,123,56,167,424
PDCE,Oil and Gas,Exploration and Production,Top 25% (63 out of 252),C,B,C,B,-128,2,-57,-724,522
PFHD,Banks,Southeast,Top 16% (41 out of 252),F,F,A,F,3.96,2,2,8,21
PLAB,Semiconductor Equipment,Photomasks,Top 1% (3 out of 252),B,B,C,A,13,42,30,34,55
PLAY,Retail,Restaurants,Bottom 32% (171 out of 252),C,C,A,C,121,117,100,-207,109
PLUS,Business,Software Services,Top 32% (80 out of 252),D,F,B,F,51,55,63,69,74
PPC,Food,Meat Products,Top 6% (14 out of 252),B,B,F,B,695,248,456,95,31
QDEL,Medical,Products,Bottom 35% (165 out of 252),B,D,F,D,-8,74,73,810,704
R,Transportation,Equipment and Leasing,Top 7% (17 out of 252),A,B,B,A,791,273,-24,-122,519
RC,REIT and Equity Trust,,Bottom 15% (215 out of 252),D,C,A,C,43,59,73,45,158
ROCC,Oil and Gas,Exploration and Production,Top 25% (63 out of 252),B,C,B,B,33,225,71,-311,40
RYI,Steel,Producers,Top 11% (27 out of 252),B,C,A,B,17,106,82,-66,294
SAH,Automotive,Retail and Whole Sales,Top 8% (19 out of 252),A,D,A,C,93,52,144,-51,349
RTL,REIT and Equity Trust,Other,Top 44% (110 out of 252),C,F,F,F,-46,-37,4,-32,-40
SEAS,Leisure and Recreation Services,,Top 44% (110 out of 252),D,A,C,B,-202,45,89,-312,257
SAFM,Food,Meat Products,Top 6% (14 out of 252),A,A,F,B,280,61,53,28,455
RS,Metal Products,Distribution,Top 6% (14 out of 252),C,D,B,C,613,634,702,369,1,413
SMTC,Semiconductor,Analog and Mixed,Top 2% (5 out of 252),F,B,B,D,36,63,32,60,126
SNEX,Financial,Miscellaneous Services,Top 38% (97 out of 252),C,D,C,C,6,56,85,170,116
SOI,Oil and Gas,Field Services,Bottom 40% (152 out of 252),D,C,C,D,7,42,52,-29,-1
SON,Containers,Paper and Packaging,Top 41% (103 out of 252),D,D,C,D,175,314,292,207,-85
SPWH,Retail,Apparel and Shoes,Top 33% (83 out of 252),A,D,A,C,21.86,18,24,20,91
SQM,Fertilizers,,Top 10% (26 out of 252),F,B,D,D,428,440,278,165,585
SSD,Building Products,Miscellaneous,Bottom 21% (199 out of 252),D,D,B,D,93,127,134,187,266
STC,Insurance,Property and Casualty,Top 27% (69 out of 252),A,A,B,A,49,48,79,155,323
STEP,Financial,Miscellaneous Services,Top 38% (97 out of 252),F,D,F,F,62.07,48.35,0,0,63
STLD,Steel,Producers,Top 11% (27 out of 252),C,C,F,C,813,1,258,671,551,3,214
SUM,Building Products,Concrete and Aggregates,Bottom 35% (165 out of 252),C,B,C,B,126,36,61,141,154
SUN,Oil and Gas,Refining and Marketing,Bottom 3% (244 out of 252),B,F,D,D,149,-207,313,212,524
TECK,Mining,Miscellaneous,Top 31% (77 out of 252),A,C,B,A,1,935,2,397,-456,-645,2,288
TFII,Transportation,Services,Top 20% (51 out of 252),D,B,B,B,132.84,213.54,234,276,664
SITE,Industrial Services,,Top 37% (94 out of 252),D,B,C,C,55,74,78,121,238
TGLS,Building Products,Retail,Top 5% (12 out of 252),C,B,C,B,5,9,25,24,68
TGT,Retail,Discount Stores,Bottom 31% (173 out of 252),C,B,D,B,2,934,2,937,3,281,4,368,6,946
THFF,Banks,Midwest,Top 6% (14 out of 252),F,F,D,F,29,47,49,54,53
TGH,Transportation,Equipment and Leasing,Top 7% (17 out of 252),C,C,D,C,19,50,57,73,284
TPH,Building Products,Home Builders,Top 24% (60 out of 252),A,B,D,A,187,270,207,282,469
TRMK,Banks,Southeast,Top 16% (41 out of 252),F,F,B,F,106,150,150,160,147
TRMR,Advertising and Marketing,,Top 20% (51 out of 252),C,C,C,C,11.88,24.40,6,2,73
TSC,Banks,Northeast,Top 15% (37 out of 252),F,F,C,F,38,54,60,45,78
TSLA,Automotive,Domestic,Top 43% (109 out of 252),F,A,D,D,-1,961,-976,-862,690,5,519
TSN,Food,Meat Products,Top 6% (14 out of 252),A,A,F,B,1,774,3,024,2,022,2,140,3,047
TTE,Alternative Energy,Other,Bottom 35% (165 out of 252),A,B,C,A,8,631,11,446,11,267,-7,242,16,032
TTGT,Internet,Content,Top 42% (106 out of 252),F,B,F,F,7,13,17,17,1
TWI,Manufacturing,Farm Equipment,Top 17% (42 out of 252),C,D,B,C,-60,16,-48,-60,50
UFCS,Insurance,Property and Casualty,Top 27% (69 out of 252),C,D,F,C,51,28,15,-113,81
UNVR,Chemical,Diversified ,Bottom 31% (175 out of 252),C,B,B,B,120,172,-100,53,461
USAK,Transportation,Truck,Top 5% (13 out of 252),A,C,A,A,8,12,-5,5,25
UTI,Schools,,Bottom 27% (185 out of 252),B,C,D,C,-8,-33,-8,8,15
VALE,Mining,Iron,Top 1% (1 out of 252),B,B,D,B,5,507,6,860,-1,683,4,881,24,736
VIST,Oil and Gas,Integrated,Top 16% (40 out of 252),A,A,F,A,0,-30,-33,-103,51
VIVO,Medical,Products,Bottom 35% (165 out of 252),D,B,D,C,22,24,24,46,71
VLO,Oil and Gas,Refining and Marketing,Top 25% (64 out of 252),C,A,D,A,4,065,3,122,2,422,-1,421,930
TS,Steel,Pipe and Tube,Top 2% (5 out of 252),D,F,B,F,545,876,743,-634,1,100
TMST,Steel,Producers,Top 11% (27 out of 252),B,A,B,A,-44,-32,-110,-62,171
VNOM,Oil and Gas,Exploration and Production,Top 25% (63 out of 252),F,B,A,D,111,144,46,-192,58
VIRT,Financial,Miscellaneous Services,Top 38% (97 out of 252),C,B,A,B,3,289,-59,649,477
VRTV,Paper and Related Products,,Top 24% (61 out of 252),C,C,A,B,-13,-16,-30,34,145
VTRU,Schools,,Bottom 27% (185 out of 252),B,C,C,B,2.94,0.58,5.45,10,13
WHD,Oil and Gas,Integrated,Top 10% (25 out of 252),F,D,B,F,67,65,86,34,50
WIRE,Wire and Cable Products,,Top 17% (42 out of 252),A,B,A,A,67,78,58,76,541
WMB,Oil and Gas,Production and Pipelines,Top 11% (27 out of 252),F,D,C,D,2,174,-155,850,211,1,517
WSM,Retail,Home Furnishings,Top 15% (38 out of 252),B,A,A,A,260,334,356,681,1,126
WWE,Film and Television Production and Distribution,,Top 28% (71 out of 252),F,D,F,F,33,100,77,132,180
XPO,Transportation,Services,Top 20% (51 out of 252),D,D,F,D,340,422,419,110,336
ZEUS,Steel,Producers,Top 11% (27 out of 252),D,D,B,D,19,34,4,-6,121
ZIM,Transportation,Shipping,Top 28% (70 out of 252),A,A,C,A,1,461.15,2,306.25,-18,518,4,640
